
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 12 October 2022]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","Driving a car or van"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02001228 : Stockport 042",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,2,10,2,23,15,4,2,19,1,2,3,1,2,1,5,4,1,5,3,4,0,1,1,7,6,0,1,0,2,0,9,1,0,1,7,4,18,14,32,32,18,1,9,2,1,32,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,1,2,0,0,0,0,0,1,0,1,3,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,4,0,0,2,0,1,0,0,1,12,8,0,1,0,0,0,9,0,1,0,3,5,3,5,0,21,1,29,1,13,3,4,67,4,19,2,6,20,8,6,23,8,2,3,12,36,12,3,14,24,7,23,22,2,20,27,2,46,8,11,88,0,0,1,1,1,0,4,1,0,2,0,0,16,1,0,2,7,0,0,6,0,0,0,0,9,0,0,4,0,1,10,12,14,2,3,2,0,0,1,0,2,2,0,3,7,0,0,0,6,2,2,0,0,5,6,0,7,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001229 : Tameside 001",0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,4,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,4,6,1,0,11,0,7,0,0,2,0,1,2,3,0,2,0,3,0,1,1,0,2,0,3,12,5,4,2,22,4,4,29,24,38,11,14,4,19,3,1,0,6,4,1,2,0,2,1,2,2,1,2,1,6,3,0,2,4,1,0,7,5,1,0,2,0,12,3,18,53,43,11,8,4,5,23,3,3,6,2,6,27,2,11,22,2,21,8,50,71,13,40,17,12,23,66,18,44,58,6,4,10,14,3,24,9,7,3,12,2,2,1,3,1,4,1,4,1,18,0,3,5,0,3,4,6,3,3,7,7,0,4,9,0,0,0,1,1,0,1,0,3,0,0,0,3,1,0,1,1,4,0,0,1,11,18,0,1,1,0,0,21,1,2,1,4,5,1,1,8,11,2,32,4,8,6,6,33,1,8,0,2,7,0,1,8,2,1,1,1,5,0,1,4,5,0,2,2,0,3,0,1,2,1,0,6,171,20,31,8,16,10,123,45,24,15,13,1,272,5,77,9,75,20,25,51,13,10,5,2,26,7,25,44,4,7,25,26,12,8,3,17,0,2,0,0,2,0,0,0,2,1,0,0,4,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
"E02001230 : Tameside 002",0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,6,1,1,7,9,2,2,14,7,21,8,13,1,18,1,2,2,2,1,2,0,1,6,2,2,0,0,1,0,5,2,0,0,3,0,1,5,4,0,0,3,0,9,4,16,37,21,10,6,8,1,19,1,0,0,0,3,3,1,4,7,0,8,8,4,33,7,24,5,1,6,7,4,12,28,3,5,13,23,1,9,6,3,1,7,0,2,0,0,1,0,0,0,0,6,0,0,1,0,1,1,1,4,3,2,3,1,3,2,0,0,1,1,0,0,1,0,1,3,0,1,2,0,0,1,0,4,0,1,0,6,7,0,0,2,1,0,24,1,1,1,5,2,0,0,7,6,1,18,2,4,4,3,21,1,4,0,0,6,0,2,9,0,1,0,2,3,1,1,0,4,0,3,0,1,3,2,1,1,0,0,4,27,43,1,22,24,18,106,11,10,24,5,0,291,4,27,11,49,16,22,26,19,15,2,1,29,0,9,21,5,6,14,13,7,2,2,7,0,1,1,0,0,1,0,1,2,0,1,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
"E02001231 : Tameside 003",0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,5,0,0,2,0,5,0,1,2,1,0,1,2,0,1,0,2,0,0,0,1,0,1,0,2,1,7,4,12,5,2,19,11,22,2,7,2,17,0,0,1,0,0,0,0,0,2,0,2,2,0,0,0,5,3,0,2,0,1,1,6,2,1,0,3,1,5,1,17,27,24,6,5,2,1,9,1,3,4,0,0,7,1,1,9,1,6,4,15,16,7,13,7,2,5,23,4,23,21,4,7,18,3,1,7,5,6,0,5,0,2,0,0,0,0,2,3,2,6,0,1,2,1,1,0,3,2,0,3,6,1,4,4,0,1,0,0,0,0,0,1,10,0,0,0,1,0,1,2,0,4,1,0,0,9,7,0,0,0,2,0,22,0,1,0,6,6,2,1,3,9,1,20,3,8,2,2,24,1,5,0,2,10,7,2,6,0,0,0,2,3,2,2,1,6,0,0,2,0,5,3,0,2,0,0,1,69,14,51,10,6,17,144,53,34,8,12,2,261,9,87,25,63,22,19,49,15,16,4,1,37,4,15,47,9,7,12,12,8,4,1,4,0,4,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"E02001232 : Tameside 004",0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,6,0,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,3,1,0,3,0,1,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,2,2,2,6,1,4,3,10,3,7,19,6,25,4,9,2,9,1,1,0,2,5,1,0,0,1,3,2,2,0,0,0,2,2,0,1,0,0,1,4,3,2,0,3,4,4,2,17,23,13,5,3,5,1,14,0,4,3,0,4,3,0,3,8,2,9,3,3,15,13,6,4,2,3,4,3,6,19,1,7,11,18,1,5,5,5,1,9,2,0,0,1,1,0,0,2,0,7,0,1,1,0,3,0,0,1,0,0,4,0,2,5,0,1,0,1,2,0,0,0,6,3,0,0,3,0,0,2,0,3,0,1,2,11,5,0,0,0,2,0,22,0,2,0,3,6,0,0,3,6,3,29,1,4,5,3,17,0,5,0,2,4,1,2,5,1,1,1,2,5,0,2,1,1,0,2,2,1,0,0,1,1,4,2,0,41,20,7,46,14,20,90,19,15,10,8,1,289,6,29,15,62,15,28,29,6,15,3,2,26,2,11,36,2,4,8,10,9,4,0,13,0,1,2,0,2,1,1,0,3,0,3,0,1,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E02001233 : Tameside 005",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,6,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,3,4,1,10,8,7,27,14,16,8,11,3,14,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,3,0,1,2,0,2,0,4,2,1,0,5,2,5,3,23,37,26,5,7,9,0,13,0,1,0,0,1,4,1,2,11,0,4,6,4,20,4,10,8,0,6,4,2,11,22,0,4,13,15,0,5,8,12,1,6,0,2,0,0,0,0,0,3,0,8,0,0,1,1,0,0,0,0,2,4,5,0,2,4,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,5,0,0,4,7,17,0,2,4,3,1,26,0,2,0,2,5,0,3,7,9,2,29,4,11,0,4,12,1,5,0,1,7,1,0,8,1,0,1,3,5,1,1,0,2,1,2,1,0,1,0,2,2,0,0,2,5,21,5,12,30,31,78,12,7,11,12,1,326,4,38,9,69,10,30,34,9,15,2,1,34,2,11,26,2,4,11,17,8,4,0,10,0,1,1,0,0,2,0,0,1,0,0,0,2,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,3,0,0,0,0,2,0,0
"E02001234 : Tameside 006",0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,2,0,10,2,4,19,11,9,4,12,2,13,1,1,2,2,1,0,1,2,4,1,2,0,0,0,0,3,3,1,3,0,5,0,4,3,0,1,1,0,3,2,16,27,21,4,1,5,1,9,1,2,1,0,0,1,0,1,8,2,4,1,1,11,5,10,8,3,1,1,3,4,20,0,5,7,9,1,6,6,3,0,5,2,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,1,0,0,4,1,0,3,5,5,1,0,0,0,0,23,0,3,1,1,1,0,4,0,6,0,18,0,7,3,2,24,2,11,0,1,10,2,1,4,0,1,0,3,4,0,0,0,4,0,0,1,0,3,0,1,4,0,0,3,25,21,3,20,20,44,84,16,15,12,11,1,212,8,26,5,54,7,27,24,13,13,1,3,27,1,11,30,2,3,6,10,5,3,1,4,0,1,0,0,1,2,0,1,6,0,0,0,1,0,0,1,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"E02001235 : Tameside 007",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,3,1,1,3,9,2,6,17,14,24,2,7,0,11,3,0,0,2,4,2,1,0,0,1,3,1,1,0,0,0,4,0,1,1,1,0,4,2,3,0,2,1,3,4,18,25,15,5,8,2,1,2,1,0,0,0,0,1,4,1,11,3,0,2,4,13,5,12,7,1,3,7,1,2,20,3,3,3,13,1,5,2,1,2,3,3,0,0,0,1,1,1,0,0,6,0,0,1,0,1,1,2,0,2,1,2,0,2,2,0,0,0,1,0,1,0,0,4,0,0,0,1,1,0,0,1,1,1,0,1,8,6,0,0,0,0,0,23,0,2,0,6,5,0,0,9,5,1,19,0,8,1,0,23,2,7,0,1,9,1,0,3,1,0,0,5,4,0,1,0,4,0,1,1,2,2,0,3,5,2,0,4,10,16,2,10,11,15,95,29,17,8,9,1,250,8,41,13,80,10,18,32,10,9,7,4,24,1,8,30,4,4,19,12,8,2,0,9,0,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"E02001236 : Tameside 008",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,3,2,5,3,1,11,7,9,4,6,2,4,1,0,1,2,1,1,0,1,1,3,0,0,0,0,0,0,1,3,1,0,0,0,3,2,1,0,1,0,1,0,8,14,19,1,2,5,1,6,0,2,0,0,1,3,0,1,2,1,5,3,6,4,6,3,5,0,2,8,1,0,6,0,1,3,3,0,5,2,0,0,3,0,1,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,2,1,0,0,0,5,2,0,0,3,1,0,14,0,0,0,0,1,1,0,0,2,3,17,2,5,1,1,12,0,4,0,0,4,0,1,3,0,0,0,1,4,0,1,3,2,0,1,0,1,1,0,0,0,0,0,1,16,6,9,8,13,9,45,37,31,6,4,0,132,2,65,9,49,15,12,35,8,17,3,0,16,2,9,26,4,1,2,6,5,1,0,4,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"E02001237 : Tameside 009",1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,1,0,2,9,1,0,3,0,3,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,5,1,1,1,9,1,5,12,11,20,6,11,5,13,2,1,1,2,1,2,3,0,0,2,2,1,1,0,0,2,6,2,1,2,0,2,5,6,0,1,1,4,11,5,15,31,25,7,2,2,2,7,2,1,1,0,2,4,1,1,7,1,1,7,4,7,5,16,3,2,1,6,5,11,20,1,1,10,5,1,3,6,0,1,1,1,0,0,0,2,0,0,2,0,5,0,3,2,1,4,0,3,2,3,1,0,0,3,6,0,0,0,2,1,0,1,0,4,0,1,0,3,0,0,2,1,3,0,0,1,4,6,1,0,0,1,0,14,0,2,0,4,4,1,1,6,10,0,17,2,2,0,1,27,0,6,0,0,4,0,1,8,0,1,0,5,2,0,1,0,3,0,4,1,0,2,2,1,1,1,0,2,33,10,19,9,10,14,95,46,73,8,7,0,221,2,92,22,63,28,18,47,12,19,6,2,41,2,13,43,1,5,14,13,5,3,1,11,0,3,0,0,1,2,1,1,2,0,2,0,4,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
"E02001238 : Tameside 010",0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,6,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,1,5,0,1,0,0,1,0,0,2,6,1,0,2,0,1,0,0,1,0,0,1,2,1,1,0,2,0,1,0,2,2,0,2,13,4,6,13,33,23,13,90,37,60,15,28,8,27,4,1,3,6,1,1,4,1,2,0,7,2,0,3,0,6,0,1,1,3,1,1,4,3,2,1,3,5,10,7,17,81,35,9,15,8,3,17,0,1,1,0,0,1,0,0,4,0,7,2,1,16,9,13,4,1,0,2,1,5,8,1,2,19,8,1,10,8,6,4,1,1,1,0,0,2,0,0,3,3,1,0,1,2,1,4,0,2,3,4,3,1,0,2,9,1,1,0,0,0,1,1,1,4,2,0,3,3,0,0,4,1,8,1,1,5,15,26,0,0,0,1,1,45,1,0,0,0,6,1,2,15,10,4,18,0,5,3,2,23,0,9,0,3,10,3,1,7,2,0,0,4,5,0,1,2,6,0,1,1,0,2,0,0,2,4,1,3,6,11,4,3,9,11,46,4,11,96,34,5,150,18,22,2,23,14,33,23,14,12,3,6,29,1,3,20,5,4,21,34,12,3,0,23,0,7,4,0,2,3,0,0,4,1,3,0,1,1,0,0,0,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
"E02001239 : Tameside 011",0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,1,0,1,3,0,4,0,3,1,1,2,2,0,0,0,0,1,0,0,4,2,2,0,3,5,3,5,5,34,45,19,105,65,49,23,33,12,39,7,1,3,11,4,3,3,3,5,2,0,2,0,2,2,4,5,4,2,0,5,1,4,8,1,3,3,1,14,10,17,72,62,8,12,10,4,16,1,2,0,0,0,0,0,1,3,0,5,1,2,6,1,6,3,0,1,1,0,7,10,3,0,19,2,0,9,1,6,1,1,0,1,0,1,1,0,1,3,1,9,0,0,0,1,3,0,5,4,1,2,3,1,1,7,0,0,1,0,0,3,3,2,9,1,1,0,3,2,0,2,0,4,0,0,5,16,18,1,1,1,2,3,34,1,6,2,3,8,1,2,7,15,2,22,1,8,2,4,32,0,4,0,3,15,0,0,9,1,1,2,4,4,2,0,2,9,0,1,3,1,3,0,4,2,3,0,8,4,14,3,3,4,5,33,5,3,56,69,12,152,11,15,4,43,9,25,22,10,9,3,2,21,3,4,18,4,2,16,43,31,2,1,21,1,4,0,0,2,2,1,2,5,0,1,1,3,2,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,2,2,1
"E02001240 : Tameside 012",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,3,3,0,0,14,5,4,9,32,30,31,88,30,49,16,25,7,33,5,3,2,7,2,2,3,1,6,4,4,2,0,1,2,7,6,2,3,1,1,0,5,6,4,3,4,3,5,7,16,51,40,14,11,7,2,15,1,0,0,1,0,0,0,3,4,1,1,0,1,4,4,1,3,0,0,2,0,2,9,0,1,9,2,1,8,9,1,0,0,0,0,0,3,1,0,1,2,2,5,0,1,2,0,5,0,5,1,1,1,1,0,2,6,2,0,0,0,0,2,2,1,3,1,1,0,3,0,1,0,2,3,2,0,1,15,18,0,0,0,1,0,30,1,3,0,3,2,1,0,9,11,0,15,0,4,0,6,20,1,4,0,2,10,0,1,9,2,0,0,5,1,2,0,0,6,0,2,1,0,4,0,0,0,1,1,0,3,7,1,6,6,7,19,3,2,39,35,18,92,7,11,4,25,11,17,21,6,7,1,2,16,3,2,12,3,3,13,18,15,4,0,20,0,3,2,0,2,2,0,3,8,0,1,0,4,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,2
"E02001241 : Tameside 013",0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,4,2,7,7,3,37,7,14,0,13,1,6,0,2,1,4,1,2,0,1,3,0,2,0,0,0,1,2,2,1,0,2,0,0,4,0,0,3,1,0,8,1,10,38,25,4,8,4,1,14,0,0,0,0,1,0,0,1,4,0,1,4,0,8,5,6,3,3,0,0,3,11,20,0,0,11,10,0,6,0,1,0,0,0,0,0,1,1,0,0,1,0,3,0,1,1,0,7,0,1,0,1,0,2,0,1,1,0,2,1,1,0,0,0,0,2,1,0,0,3,1,1,1,1,1,0,0,0,9,4,0,0,0,0,1,20,1,4,1,2,1,0,0,3,3,2,17,0,6,0,4,19,1,8,0,2,5,1,0,6,2,1,0,6,2,0,0,1,3,1,0,0,0,3,1,1,1,1,0,0,13,10,2,4,6,7,49,6,8,6,4,2,229,13,22,8,48,12,19,16,21,8,1,1,33,1,5,29,2,3,5,20,5,4,1,4,1,2,0,0,1,0,0,0,3,0,1,0,2,1,0,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001242 : Tameside 014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,3,0,3,0,0,1,1,0,1,1,0,0,0,1,0,2,1,1,1,0,1,7,3,5,4,20,11,7,65,34,36,6,20,5,22,7,2,1,2,2,1,5,2,4,5,5,4,0,3,2,9,2,1,3,0,2,1,5,6,1,2,3,2,6,3,20,51,30,9,15,4,1,26,0,0,1,0,0,2,1,1,3,1,8,0,2,10,10,6,3,1,5,1,0,7,17,0,4,16,2,1,6,5,2,0,0,0,2,0,0,0,0,0,1,1,9,0,0,1,0,3,0,4,0,3,0,3,0,2,6,0,0,0,2,0,0,0,0,3,3,0,0,0,0,1,2,1,3,0,0,3,14,13,0,0,0,1,0,30,0,5,0,1,5,0,2,3,9,0,17,0,6,1,1,25,1,11,0,0,5,2,1,4,0,0,0,4,3,1,0,0,0,0,1,1,0,5,0,0,2,1,0,0,7,3,1,4,5,7,38,11,7,32,25,2,180,46,16,4,31,4,23,23,14,2,2,4,34,1,5,24,13,4,15,27,5,7,1,9,0,0,1,1,0,2,0,2,5,1,2,0,6,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"E02001243 : Tameside 015",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,0,3,0,0,0,2,1,1,0,1,1,0,0,0,1,1,1,0,2,0,0,0,0,8,0,1,6,0,1,11,12,1,3,21,17,33,8,8,1,13,3,0,0,5,3,3,0,2,0,1,0,0,0,1,0,2,6,1,1,4,1,0,7,3,1,0,1,2,6,1,20,33,24,7,3,7,2,22,1,1,1,0,2,1,0,5,8,0,9,4,7,12,7,6,10,1,6,6,2,13,12,1,7,11,2,2,11,7,0,0,5,0,0,0,1,1,0,0,2,0,3,0,1,0,0,2,2,5,1,1,0,1,0,3,4,0,1,0,2,0,1,0,0,3,2,3,0,0,0,0,1,2,1,1,0,2,7,12,0,0,1,1,0,20,0,3,1,4,3,0,4,4,7,2,23,2,4,6,5,51,0,13,1,1,14,2,1,11,0,0,0,7,8,3,2,1,2,0,5,0,1,5,0,1,2,1,0,7,26,14,16,6,17,9,121,45,59,14,19,1,288,12,159,24,103,36,31,57,19,29,12,3,35,4,23,56,2,15,21,17,9,7,0,9,1,0,1,0,1,2,0,1,1,1,1,0,3,2,0,0,1,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
"E02001244 : Tameside 016",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,3,0,1,1,6,9,4,19,14,19,7,21,1,8,1,2,1,1,2,1,1,0,1,0,1,0,0,1,0,1,4,1,0,3,0,0,1,2,0,0,3,1,6,3,15,26,16,2,10,3,0,10,0,0,0,0,1,1,1,1,2,0,3,3,0,11,5,3,5,0,8,0,0,6,16,1,0,5,8,0,3,6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,2,2,4,2,0,1,0,1,6,2,0,1,2,0,0,0,0,2,2,0,0,0,1,0,1,0,3,0,1,0,8,9,0,0,1,1,0,10,0,6,0,3,2,1,1,4,7,1,25,1,2,5,2,23,1,7,0,1,15,5,1,4,1,0,0,2,4,1,1,3,4,0,1,0,0,3,0,0,2,1,1,0,12,9,5,9,5,7,110,31,20,13,7,1,219,4,88,33,96,37,27,53,9,26,3,4,35,2,14,47,3,7,16,15,4,3,4,12,0,1,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
